PAM8403,,,
Pin,Name,Type,Side
1,OUTL+,out,left
2,PGND,pwr,left
3,OUTL-,out,left
4,PVDD,pwr,left
5,MUTE,in,left
6,VDD,pwr,left
7,INL,in,left
8,VREF,out,left
9,NC,out,right
10,INR,in,right
11,GND,pwr,right
12,SHDN,in,right
13,PVDD,pwr,right
14,OUTR-,out,right
15,PGND,pwr,right
16,OUTR+,out,right
