PTR5518,,,
Pin,Name,Type,Side
1,P0.08,inout,right
2,P0.09,inout,right
3,P0.12,inout,right
4,SWDIO,inout,right
5,SWCLK,in,right
6,P0.17,inout,right
7,P0.18,inout,right
8,P0.19,inout,right
9,GND,pwr,left
10,VDD,pwr,left
11,P0.25,inout,left
12,P0.26,inout,left
13,P0.27,inout,left
14,P0.28,inout,left
15,P0.29,inout,left
