PCM5100,,,
Pin,Name,Type,Side
1,CPVDD,pwr,left
2,CAPP,out,left
3,CPGND,pwr,left
4,CAPM,out,left
5,VNEG,out,left
6,OUTL,out,left
7,OUTR,out,left
8,AVDD,pwr,left
9,AGND,pwr,left
10,DEMP,in,left
11,FLT,in,right
12,SCK,in,right
13,BCK,in,right
14,DIN,in,right
15,LRCK,in,right
16,FMT,in,right
17,XSMT,in,right
18,LDOO,pwr,right
19,DGND,pwr,right
20,DVDD,pwr,right
